miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	V12
hsa-miR-1246	167	167	167	167	167	167	167	162	138	105	9.8706787066417
hsa-miR-1247	167	166	156	102	26	0	0	0	0	0	3.20247450310024
hsa-miR-1248	167	167	167	163	111	26	0	0	0	0	4.30810246739744
hsa-miR-1250	167	167	163	150	67	10	0	0	0	0	3.84178242731546
hsa-miR-1251	167	166	166	156	93	10	0	0	0	0	4.0576654403072
hsa-miR-1252	167	167	167	166	104	20	0	0	0	0	4.21053472620974
hsa-miR-1253	167	167	167	167	160	57	0	0	0	0	4.86267631556312
hsa-miR-1254	167	166	164	152	102	16	1	0	0	0	4.06764799596468
hsa-miR-1255a	167	166	164	147	63	12	0	0	0	0	3.85303325549132
hsa-miR-1256	167	166	160	123	31	0	0	0	0	0	3.33827423561149
hsa-miR-1257	167	167	161	129	28	1	0	0	0	0	3.40292510340098
hsa-miR-1258	167	163	132	61	7	0	0	0	0	0	2.67712260847534
hsa-miR-125a-3p	161	155	155	155	154	151	145	131	86	9	7.32328673587648
hsa-miR-125a-5p	167	167	167	165	146	104	73	60	51	35	6.50877335633358
hsa-miR-125b	167	167	167	165	149	104	83	61	45	25	6.39978704340513
hsa-miR-126	167	167	167	167	166	127	81	60	43	36	7.13756892290291
hsa-miR-1260	167	167	167	167	167	167	167	167	167	166	12.1205757024857
hsa-miR-1261	167	167	167	167	162	88	10	0	0	0	5.08081213303123
hsa-miR-1262	167	166	164	154	69	4	0	0	0	0	3.81972577620506
hsa-miR-1263	167	167	167	164	139	33	0	0	0	0	4.54029423734512
hsa-miR-1266	167	167	167	167	162	104	28	7	1	0	5.2897316504739
hsa-miR-1268	167	167	167	166	148	73	7	0	0	0	4.88214530489352
hsa-miR-1269	167	164	155	124	43	5	0	0	0	0	3.45504968614193
hsa-miR-127-3p	167	167	160	106	34	10	9	9	6	3	3.55114308946604
hsa-miR-127-5p	167	166	166	164	129	51	6	0	0	0	4.57225638214418
hsa-miR-1271	167	167	165	145	77	7	0	0	0	0	3.81585848089949
hsa-miR-1272	167	167	166	151	81	16	2	0	0	0	4.02753304146398
hsa-miR-1275	167	167	167	166	149	60	0	0	0	0	4.74544666567314
hsa-miR-1276	167	167	167	167	161	109	7	0	0	0	5.19001432732398
hsa-miR-1277	167	167	167	159	91	11	0	0	0	0	4.05943353304457
hsa-miR-1278	167	166	161	131	38	1	0	0	0	0	3.48716038992341
hsa-miR-1279	167	167	167	162	134	40	3	0	0	0	4.54169622580102
hsa-miR-128	167	167	167	167	167	167	166	155	108	66	8.69982925138553
hsa-miR-1281	167	167	163	132	68	14	2	0	0	0	3.78022827985672
hsa-miR-1282	167	167	167	165	151	60	0	0	0	0	4.71789662398434
hsa-miR-1283	100	9	3	3	3	3	3	1	0	0	0.278066207150499
hsa-miR-1284	167	167	162	132	29	0	0	0	0	0	3.47267829116095
hsa-miR-1285	167	167	167	164	134	31	1	0	0	0	4.46157517913288
hsa-miR-1286	167	167	167	166	150	60	3	0	0	0	4.77421401478058
hsa-miR-1287	167	167	166	164	139	34	2	0	0	0	4.52411529435656
hsa-miR-1288	167	166	160	122	37	3	0	0	0	0	3.41714548827858
hsa-miR-1289	167	167	164	148	68	4	0	0	0	0	3.83179036592004
hsa-miR-129-3p	165	158	134	81	37	20	10	5	3	2	3.21786217395648
hsa-miR-129-5p	167	167	164	158	113	41	8	3	1	1	4.40207720772204
hsa-miR-1290	167	167	166	160	117	46	9	2	1	0	4.49074632819856
hsa-miR-1291	167	167	167	166	138	46	3	0	0	0	4.63341653142234
hsa-miR-1292	167	167	166	155	87	11	0	0	0	0	4.02025868376911
hsa-miR-1293	167	160	121	52	8	0	0	0	0	0	2.53723945124065
hsa-miR-1294	167	167	165	157	92	9	0	0	0	0	4.03629977982089
hsa-miR-1296	167	167	164	114	37	6	0	0	0	0	3.41452857501959
hsa-miR-1297	167	167	167	167	167	167	154	107	42	4	7.39902686568957
hsa-miR-1298	167	167	165	148	74	5	0	0	0	0	3.8700263706565
hsa-miR-1299	167	167	167	165	133	31	5	0	0	0	4.49605061021547
hsa-miR-1301	167	167	166	162	90	14	0	0	0	0	4.11958512045894
hsa-miR-1302	166	166	165	153	123	73	27	12	1	0	4.81194463325421
hsa-miR-1303	167	166	166	147	57	0	0	0	0	0	3.7139305963582
hsa-miR-1305	167	167	167	167	167	147	39	1	0	0	5.606484660718
hsa-miR-1306	164	151	102	28	1	0	0	0	0	0	2.20554292544488
hsa-miR-1307	167	167	167	167	164	107	22	1	1	0	5.25719831002594
hsa-miR-130a	167	167	157	118	59	37	32	28	11	8	4.22124393049496
hsa-miR-130b	167	167	167	167	167	167	166	153	117	63	8.75124738271835
hsa-miR-132	155	149	148	147	142	134	124	96	37	8	6.3699397760958
hsa-miR-1321	167	165	157	127	38	3	0	0	0	0	3.42044150218893
hsa-miR-1322	167	167	165	158	98	8	0	0	0	0	4.06227203938551
hsa-miR-1323	167	167	165	152	71	4	1	1	1	0	3.84812217673659
hsa-miR-133a	167	167	167	166	123	20	5	1	0	0	4.39196992481074
hsa-miR-133b	167	167	167	165	161	154	52	1	0	0	5.7141218445181
hsa-miR-134	167	167	167	167	164	127	4	0	0	0	5.24698868005941
hsa-miR-135a	167	163	151	111	51	23	14	9	5	3	3.64796165673788
hsa-miR-135b	167	167	160	137	64	31	22	18	15	11	4.3401594351753
hsa-miR-136	167	167	167	162	133	63	16	9	5	4	4.84351072647824
hsa-miR-137	167	167	167	167	167	143	34	5	3	1	5.62537842501542
hsa-miR-138	167	167	166	155	95	34	23	13	3	0	4.45539358738579
hsa-miR-139-5p	167	164	152	99	17	1	0	0	0	0	3.07790672742781
hsa-miR-140-3p	167	167	167	167	151	93	18	3	1	0	5.11466240529412
hsa-miR-140-5p	167	167	167	167	167	167	163	151	93	24	8.08349113299666
hsa-miR-141	167	167	166	160	118	31	5	3	2	2	4.42927827572072
hsa-miR-142-3p	167	167	167	167	164	164	162	160	158	155	11.6737205650306
hsa-miR-142-5p	165	162	161	161	160	160	159	157	152	144	10.9192410234239
hsa-miR-143	167	167	167	143	73	21	9	6	5	0	4.00320440393821
hsa-miR-144	167	167	165	147	73	17	15	11	10	8	4.23355375790129
hsa-miR-145	167	167	167	166	153	72	33	24	16	6	5.31492746817882
hsa-miR-1469	167	167	166	136	72	25	2	0	0	0	3.90953613509406
hsa-miR-146a	167	167	167	167	167	167	159	128	99	81	8.89307436563967
hsa-miR-146b-3p	167	167	167	159	93	14	0	0	0	0	4.0870445048691
hsa-miR-146b-5p	167	167	167	166	147	78	39	21	7	2	5.25193122825089
hsa-miR-147	167	167	167	165	128	35	0	0	0	0	4.45252359471237
hsa-miR-1470	166	162	155	93	19	1	0	0	0	0	3.09602307557924
hsa-miR-147b	167	167	165	162	147	113	57	13	0	0	5.40394419671979
hsa-miR-148a	167	167	167	167	161	150	140	128	116	97	9.1770216285563
hsa-miR-148b	167	167	167	167	167	167	165	154	101	45	8.36114896495036
hsa-miR-149	167	166	154	97	22	6	4	1	0	0	3.22614091278484
hsa-miR-150	167	167	167	165	157	131	88	59	46	29	6.76882242548368
hsa-miR-151-3p	166	166	159	137	91	63	44	30	8	3	4.70476259310498
hsa-miR-151-5p	166	164	155	125	94	84	62	47	32	12	5.18209341405947
hsa-miR-152	166	165	163	142	90	47	23	9	2	1	4.3412867021448
hsa-miR-153	167	167	162	126	52	3	1	0	0	0	3.58209389430528
hsa-miR-1537	167	167	167	167	167	165	135	41	14	5	6.67526230677735
hsa-miR-1538	167	164	161	135	36	0	0	0	0	0	3.4489972084595
hsa-miR-1539	166	164	158	126	19	0	0	0	0	0	3.2616112190505
hsa-miR-154	167	167	167	163	127	32	8	3	1	0	4.48746683386845
hsa-miR-155	167	167	167	167	167	167	146	118	95	75	8.78437403066562
hsa-miR-15a	167	167	167	167	167	167	166	165	163	157	11.3769144529997
hsa-miR-15b	167	167	167	167	167	167	167	166	164	155	11.0946846298268
hsa-miR-16	167	167	167	167	167	167	167	166	166	166	13.8016854880284
hsa-miR-181a	167	167	167	167	167	167	166	159	147	139	10.9605501916597
hsa-miR-181b+hsa-miR-181d	167	167	167	167	167	165	145	114	76	43	7.81488750120104
hsa-miR-181c	167	167	167	167	153	122	61	26	10	3	5.72888137887385
hsa-miR-1825	167	167	167	165	131	24	2	0	0	0	4.39900814773472
hsa-miR-1827	167	167	165	135	35	2	0	0	0	0	3.51436107966938
hsa-miR-183	167	167	167	167	156	120	85	58	19	8	6.19505181875065
hsa-miR-184	167	167	165	137	63	8	0	0	0	0	3.73639640071004
hsa-miR-185	167	167	167	167	167	164	140	87	32	5	7.10986123140079
hsa-miR-186	167	167	167	167	167	166	164	150	113	56	8.51089173457931
hsa-miR-187	167	167	167	167	164	104	12	0	0	0	5.16304550788593
hsa-miR-188-3p	167	167	167	167	165	149	92	54	23	9	6.46989603964122
hsa-miR-188-5p	167	167	167	167	167	166	107	1	0	0	6.10947081425581
hsa-miR-18a	167	167	167	167	167	167	167	164	156	138	10.2219267472236
hsa-miR-18b	167	167	167	167	166	165	159	143	105	48	8.25190660492085
hsa-miR-190	167	165	162	133	32	3	0	0	0	0	3.47919057533148
hsa-miR-1908	167	167	166	164	152	74	18	2	0	0	4.92832065240477
hsa-miR-1909	167	167	164	140	46	3	0	0	0	0	3.60293520876715
hsa-miR-190b	167	167	165	163	147	124	89	57	27	9	6.2308034919876
hsa-miR-191	167	167	167	167	167	167	167	163	149	125	9.90233133594879
hsa-miR-1910	167	167	166	161	137	35	1	0	0	0	4.52023108037603
hsa-miR-1911	167	167	166	161	107	10	0	0	0	0	4.15018238010844
hsa-miR-1912	167	167	167	167	167	124	30	0	0	0	5.40630180063494
hsa-miR-1913	167	167	167	163	127	20	0	0	0	0	4.34914555496574
hsa-miR-1914	167	166	165	153	103	18	1	0	0	0	4.14231500148817
hsa-miR-1915	167	167	166	155	81	11	1	0	0	0	4.00193374077894
hsa-miR-192	147	122	122	120	114	108	95	61	38	5	5.12024888561916
hsa-miR-193a-3p	100	6	0	0	0	0	0	0	0	0	0.165843749637544
hsa-miR-193a-5p	166	166	157	125	58	23	5	2	1	0	3.7347349488756
hsa-miR-193b	167	167	167	167	167	164	155	135	117	90	9.06765674593214
hsa-miR-194	167	167	167	166	160	121	63	32	12	4	5.8340088904165
hsa-miR-195	167	167	167	167	164	117	38	13	5	2	5.55907413838394
hsa-miR-196a	167	165	165	164	164	163	160	152	127	84	8.76425190885425
hsa-miR-196b	167	167	165	150	81	54	37	31	20	12	4.81232980321064
hsa-miR-197	167	167	167	167	167	161	141	111	59	17	7.44161071069608
hsa-miR-1973	167	167	167	167	159	118	36	8	1	0	5.40737212223332
hsa-miR-1976	167	164	146	104	24	8	0	0	0	0	3.1902842517313
hsa-miR-198	167	159	145	91	9	0	0	0	0	0	2.931547875899
hsa-miR-199a-3p+hsa-miR-199b-3p	167	167	167	166	143	73	46	33	19	10	5.4290718873443
hsa-miR-199a-5p	167	167	164	155	77	9	4	3	3	2	4.00298750307645
hsa-miR-199b-5p	167	167	166	165	138	78	52	40	30	16	5.62659490156819
hsa-miR-19a	167	167	167	167	166	166	166	166	165	151	10.8517870180706
hsa-miR-19b	167	167	167	167	167	167	167	167	167	166	13.5149543662218
hsa-miR-200a	167	167	167	167	167	161	122	54	4	2	6.5825101584893
hsa-miR-200b	167	167	167	166	144	40	5	2	2	2	4.70344119243647
hsa-miR-200c	167	167	166	166	159	100	30	8	4	4	5.34309941447178
hsa-miR-202	167	167	167	158	88	10	0	0	0	0	4.04879766365172
hsa-miR-203	167	167	167	166	141	63	16	5	5	3	4.9098820982158
hsa-miR-204	167	166	160	136	68	13	2	1	0	0	3.75090389481361
hsa-miR-205	167	167	167	163	111	26	13	11	6	5	4.53727015048594
hsa-miR-2052	167	163	154	95	14	0	0	0	0	0	3.02298195974035
hsa-miR-2053	167	163	156	127	40	6	0	0	0	0	3.42421883247361
hsa-miR-2054	167	167	167	162	126	26	0	0	0	0	4.34037263159919
hsa-miR-206	146	104	96	91	77	55	19	1	0	0	3.02626083335678
hsa-miR-208a	167	167	167	167	165	155	86	20	0	0	6.06779216746358
hsa-miR-208b	167	167	167	163	130	33	5	0	0	0	4.48142886552818
hsa-miR-20a+hsa-miR-20b	167	166	166	166	166	166	166	166	166	166	14.4841271003184
hsa-miR-21	167	167	167	167	166	166	166	152	134	113	9.84475841639187
hsa-miR-210	167	167	167	167	163	144	103	64	33	10	6.62619758917619
hsa-miR-211	167	165	154	96	10	1	0	0	0	0	3.05269303163799
hsa-miR-2110	167	167	162	122	18	0	0	0	0	0	3.30373541681225
hsa-miR-2113	167	167	167	158	76	16	6	2	1	1	4.0259479916263
hsa-miR-2114	167	167	167	165	132	15	0	0	0	0	4.36840672838667
hsa-miR-2115	167	165	161	129	49	6	0	0	0	0	3.51074600105001
hsa-miR-2116	167	167	166	146	60	4	0	0	0	0	3.74842946913933
hsa-miR-2117	167	167	167	167	140	58	5	0	0	0	4.70994602685231
hsa-miR-212	167	162	140	66	3	0	0	0	0	0	2.7515515163714
hsa-miR-214	167	167	167	163	132	41	15	5	1	1	4.67740167445862
hsa-miR-215	167	167	167	167	165	114	21	3	2	1	5.36921555883893
hsa-miR-216a	167	167	167	164	139	92	60	34	13	7	5.56320775968664
hsa-miR-217	166	164	151	121	34	4	3	2	2	0	3.41049368739447
hsa-miR-218	167	167	167	166	129	32	8	5	2	2	4.53711258526064
hsa-miR-219-1-3p	167	167	164	146	52	1	0	0	0	0	3.68022750763669
hsa-miR-219-2-3p	167	166	164	138	33	2	1	0	0	0	3.53837121487523
hsa-miR-219-5p	167	167	167	164	119	38	7	2	0	0	4.46592988744237
hsa-miR-22	167	167	167	167	164	142	75	34	13	3	6.10056760948156
hsa-miR-221	167	167	167	166	161	135	125	116	101	80	8.44916679866353
hsa-miR-222	167	167	167	167	156	140	131	116	93	52	7.89441670123097
hsa-miR-223	126	81	77	76	76	74	69	62	60	54	5.1762264280722
hsa-miR-224	167	167	166	162	108	36	11	6	1	1	4.46737200232315
hsa-miR-2276	167	166	159	130	39	6	0	0	0	0	3.470164442335
hsa-miR-2277	167	159	140	61	2	0	0	0	0	0	2.66184919703288
hsa-miR-2278	167	167	164	162	141	80	5	0	0	0	4.82443711389613
hsa-miR-23a	167	167	167	167	166	161	148	124	95	67	8.41989920633518
hsa-miR-23b	167	167	167	167	165	152	102	41	15	6	6.3838348093211
hsa-miR-24	167	167	167	167	167	166	164	154	132	99	9.62534165491619
hsa-miR-25	167	167	167	167	167	167	167	167	165	156	10.9933048096605
hsa-miR-26a	167	167	167	167	167	167	167	167	167	166	11.9295806543079
hsa-miR-26b	167	167	167	167	167	167	166	157	113	50	8.4584429955545
hsa-miR-27a	167	167	167	165	160	151	130	113	90	69	8.25940248335657
hsa-miR-27b	146	118	118	118	117	117	115	114	107	97	7.27290747989186
hsa-miR-28-3p	167	166	161	146	79	24	1	0	0	0	3.96840257897778
hsa-miR-28-5p	166	158	149	112	50	12	1	0	0	0	3.35860730129544
hsa-miR-296-3p	167	151	121	41	4	0	0	0	0	0	2.38606554774751
hsa-miR-296-5p	167	167	167	167	166	156	127	103	79	39	7.57579818958001
hsa-miR-297	167	165	139	90	9	0	0	0	0	0	2.91405253717449
hsa-miR-298	167	165	160	144	49	0	0	0	0	0	3.63867955740531
hsa-miR-299-3p	167	166	166	140	43	5	0	0	0	0	3.6012844327425
hsa-miR-299-5p	167	167	159	118	33	7	3	1	0	0	3.40289904354559
hsa-miR-29a	167	167	167	167	166	166	166	164	164	162	11.6352288033422
hsa-miR-29b	167	167	167	167	163	152	134	109	81	53	7.91728298593848
hsa-miR-29c	167	167	167	167	167	166	161	144	120	87	8.92845921754492
hsa-miR-300	167	167	167	167	165	116	7	0	0	0	5.20751544148919
hsa-miR-301a	167	167	167	167	167	167	166	131	90	39	8.14277924495026
hsa-miR-301b	167	167	167	167	166	156	100	35	19	4	6.36656443087416
hsa-miR-302a	167	167	162	147	42	0	0	0	0	0	3.65592186731885
hsa-miR-302b	167	167	167	166	112	8	0	0	0	0	4.19496019665734
hsa-miR-302c	167	167	166	157	108	29	0	0	0	0	4.25957732418857
hsa-miR-302d	167	166	164	142	46	2	0	0	0	0	3.60995797383601
hsa-miR-302e	167	167	167	167	153	102	33	6	0	0	5.28069226746299
hsa-miR-302f	167	167	167	164	142	65	2	0	0	0	4.76716254472242
hsa-miR-30a	167	167	167	167	167	165	132	59	21	5	6.78884805316606
hsa-miR-30b	167	167	167	167	167	167	167	166	163	159	11.7371099543848
hsa-miR-30c	167	167	167	167	167	167	167	166	160	121	9.62837736669746
hsa-miR-30d	167	167	167	167	166	163	155	125	81	31	7.85688218575416
hsa-miR-30e	167	167	167	167	166	164	157	137	100	46	8.20868982560108
hsa-miR-31	167	167	167	167	165	98	9	4	3	3	5.19841736196715
hsa-miR-32	167	167	167	167	167	167	167	138	93	38	8.17001196790577
hsa-miR-320a	167	167	167	167	164	136	53	5	1	0	5.65938323742755
hsa-miR-320b	167	167	165	163	143	72	16	1	0	0	4.83188405911893
hsa-miR-320c	167	166	166	166	166	165	164	163	163	162	10.6644434569212
hsa-miR-320d	167	166	162	134	37	1	0	0	0	0	3.45653756654155
hsa-miR-323-3p	166	166	156	118	36	5	3	0	0	0	3.43422328103846
hsa-miR-323-5p	167	167	167	166	116	16	0	0	0	0	4.27828275276469
hsa-miR-324-3p	167	167	167	167	166	135	43	5	0	0	5.57916389453859
hsa-miR-324-5p	167	167	167	167	167	162	151	113	58	23	7.49220630988016
hsa-miR-326	167	167	167	167	159	52	5	0	0	0	4.81285099975465
hsa-miR-328	167	167	167	166	148	74	15	0	0	0	4.93912784856416
hsa-miR-329	167	167	164	150	86	28	8	5	1	0	4.13843060411275
hsa-miR-330-3p	167	167	165	160	106	36	2	0	0	0	4.33294711969603
hsa-miR-330-5p	167	167	167	167	163	153	109	16	0	0	6.15086839898783
hsa-miR-331-3p	167	167	167	167	166	166	165	150	87	31	8.11288168188568
hsa-miR-331-5p	167	164	160	124	31	1	0	0	0	0	3.36275146231139
hsa-miR-335	167	167	167	164	150	97	62	32	12	3	5.65878973950998
hsa-miR-337-3p	167	166	159	119	33	10	9	7	5	2	3.54590565649967
hsa-miR-337-5p	167	167	167	166	161	95	17	6	1	0	5.18756103962859
hsa-miR-338-5p	167	166	156	116	12	0	0	0	0	0	3.18263457518438
hsa-miR-339-3p	167	167	164	153	112	26	4	0	0	0	4.23109652218861
hsa-miR-339-5p	167	167	167	162	136	66	20	4	1	0	4.85105086955612
hsa-miR-33a	167	167	167	158	88	3	0	0	0	0	3.97972545069293
hsa-miR-33b	167	167	167	167	161	75	15	0	0	0	5.0200631967855
hsa-miR-340	167	167	167	167	161	113	90	77	55	35	6.75783114910627
hsa-miR-342-3p	167	167	167	167	167	162	147	136	108	51	8.35281430170593
hsa-miR-342-5p	167	167	167	159	103	17	1	0	0	0	4.18185769593797
hsa-miR-345	167	167	167	166	162	124	88	59	27	10	6.28385321420658
hsa-miR-346	167	167	166	146	87	13	2	0	0	0	3.98614171839231
hsa-miR-34a	167	167	167	166	157	123	70	65	46	30	6.52502331424286
hsa-miR-34b	167	167	167	167	167	150	29	0	0	0	5.58680311477247
hsa-miR-34c-3p	167	167	167	159	96	14	0	0	0	0	4.11362944681691
hsa-miR-34c-5p	167	167	167	167	156	59	8	4	1	0	4.86038113018486
hsa-miR-361-3p	167	167	167	167	164	145	73	12	1	1	5.86271058016495
hsa-miR-361-5p	167	167	167	167	167	164	159	141	101	49	8.2646177561867
hsa-miR-362-3p	167	167	167	165	156	110	56	13	4	0	5.52012060058359
hsa-miR-362-5p	167	167	166	165	160	129	62	19	2	0	5.72517991812237
hsa-miR-363	167	167	167	167	167	151	60	43	31	26	6.55736807159416
hsa-miR-365	167	167	166	162	134	95	70	45	12	4	5.60376654476955
hsa-miR-367	167	167	164	159	86	14	0	0	0	0	4.01771292663329
hsa-miR-369-3p	167	167	167	167	146	63	11	9	8	6	4.97783119584096
hsa-miR-369-5p	167	166	165	149	85	19	1	0	0	0	4.0012813384018
hsa-miR-370	167	166	158	126	50	13	9	5	0	0	3.69085791779384
hsa-miR-371-3p	167	166	163	144	57	5	0	0	0	0	3.75675588581125
hsa-miR-371-5p	167	167	164	140	52	6	1	0	0	0	3.66604850994024
hsa-miR-372	167	166	161	141	71	10	1	0	0	0	3.80202719292754
hsa-miR-373	167	167	167	167	109	6	0	0	0	0	4.18757393900101
hsa-miR-374a	167	167	167	166	166	166	165	152	121	76	8.61883470214555
hsa-miR-374b	167	167	167	167	167	166	165	157	136	70	8.73108707409902
hsa-miR-375	167	166	166	150	76	8	4	1	0	0	3.90481571529223
hsa-miR-376a	167	167	167	167	158	92	17	10	9	8	5.28658494575354
hsa-miR-376b	167	167	167	167	127	30	9	9	6	2	4.60385078970682
hsa-miR-376c	167	167	167	166	148	53	15	13	9	9	5.07504923114563
hsa-miR-377	167	167	167	166	125	34	12	10	9	8	4.68750321601452
hsa-miR-378	167	167	167	167	167	164	160	130	71	18	7.76846186829836
hsa-miR-379	167	167	167	167	157	108	37	8	3	1	5.39657762215706
hsa-miR-380	167	167	166	156	85	12	0	0	0	0	3.97467991879696
hsa-miR-381	166	164	161	115	25	11	8	6	1	0	3.43728165974612
hsa-miR-382	167	161	138	65	10	6	5	2	1	0	2.84473475525959
hsa-miR-383	167	167	166	166	148	84	14	0	0	0	4.96035241857826
hsa-miR-384	167	167	167	166	102	10	0	0	0	0	4.21580037180918
hsa-miR-409-3p	167	166	161	146	60	15	4	2	0	0	3.84992795822072
hsa-miR-409-5p	167	167	167	166	126	34	6	3	0	0	4.46899262965704
hsa-miR-410	167	167	167	167	147	45	14	10	8	2	4.85350033276162
hsa-miR-412	167	167	165	135	50	0	0	0	0	0	3.61997331781559
hsa-miR-421	167	167	167	167	166	161	92	15	1	0	6.10188022779931
hsa-miR-422a	167	167	167	166	166	158	98	7	0	0	6.03573109052208
hsa-miR-423-3p	167	167	167	167	167	167	166	166	160	132	9.5520053694223
hsa-miR-423-5p	167	167	167	167	167	167	167	163	147	84	8.93210034956362
hsa-miR-424	167	167	167	167	167	151	91	35	14	4	6.2333908034419
hsa-miR-425	167	167	167	167	167	166	164	158	132	88	9.0392674565118
hsa-miR-429	167	167	167	164	107	21	2	2	2	2	4.31581885963999
hsa-miR-431	167	167	166	157	89	24	10	7	2	1	4.21671457759726
hsa-miR-432	167	167	166	158	94	26	9	3	0	0	4.19332882836216
hsa-miR-433	167	167	164	123	40	10	8	4	0	0	3.62289329716709
hsa-miR-448	164	156	135	62	2	0	0	0	0	0	2.61721156093845
hsa-miR-449a	167	166	166	165	120	22	5	3	1	0	4.38025476760328
hsa-miR-449b	167	167	167	154	59	2	0	0	0	0	3.76509534246239
hsa-miR-449c	165	142	108	45	1	0	0	0	0	0	2.22763440634199
hsa-miR-450a	167	167	167	164	140	113	70	33	12	5	5.69430085239243
hsa-miR-450b-3p	167	167	162	131	31	0	0	0	0	0	3.45173482941033
hsa-miR-450b-5p	167	167	167	167	165	104	18	1	0	0	5.23437162958551
hsa-miR-451	167	167	167	163	120	29	17	14	12	9	4.69034198000961
hsa-miR-452	167	167	167	165	127	43	11	7	2	1	4.67668858260467
hsa-miR-453	167	167	167	167	154	58	3	0	0	0	4.79095572044364
hsa-miR-454	167	167	167	166	165	160	140	81	24	9	6.92922749945767
hsa-miR-455-3p	167	167	164	153	100	47	28	16	9	2	4.60555558454329
hsa-miR-455-5p	167	166	163	149	87	36	13	4	0	0	4.1873354303802
hsa-miR-483-3p	167	166	161	131	30	0	0	0	0	0	3.44771606313327
hsa-miR-483-5p	167	166	165	148	53	3	0	0	0	0	3.6722704682701
hsa-miR-484	167	167	167	167	167	167	166	161	145	102	9.29254616674111
hsa-miR-485-3p	165	163	163	163	163	162	161	157	152	122	9.33750815492068
hsa-miR-485-5p	167	167	167	154	99	10	0	0	0	0	4.11451363665412
hsa-miR-486-3p	167	167	166	156	129	53	23	12	8	2	4.74735213960453
hsa-miR-487a	167	167	165	148	53	13	10	7	4	0	3.93800257651053
hsa-miR-487b	167	167	164	152	75	20	10	9	9	5	4.17986712727838
